,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
CH4,313.598,298.963,300.464,327.9,333.658,349.056,359.624,243.87,230.63,219.827,214.381,206.754,179.889
NOx,134.941,138.164,132.72,137.958,137.9,134.377,126.207,110.903,85.54,64.266,44.448,41.666,38.248
VOC,190.742,192.03,185.543,185.625,179.246,178.756,176.152,146.181,122.277,110.116,96.871,94.481,91.348
CO,879.106,893.829,867.166,877.113,837.118,817.935,764.818,575.169,442.413,399.063,345.42,336.678,329.592
CO2 FFI,22.935922,23.414671,25.46411,30.00727,33.669445,35.987491,36.741294,35.998659,31.59007,26.48084,21.729188,18.0775,15.937471
