,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
CH4,313.598,298.963,300.464,327.9,333.658,349.056,360.186,247.626,244.514,240.186,242.525,236.768,226.296
NOx,134.941,138.164,132.72,137.958,137.9,134.377,126.295,117.715,98.891,80.284,60.928,59.731,58.207
VOC,190.742,192.03,185.543,185.625,179.246,178.756,176.684,156.07,141.381,128.081,113.599,112.087,111.581
CO,879.106,893.829,867.166,877.113,837.118,817.935,768.616,637.328,553.959,492.353,422.265,417.044,412.238
CO2 FFI,22.935922,23.414671,25.46411,30.00727,33.669445,35.987491,36.741294,38.125659,37.79157,37.37384,36.829688,36.4156,35.797271
